,symbol,Date,close,Start_Qty,Trade_Qty,token_id,wallet
13,BAT,6/21/2022,0.3719,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
14,BAT,6/20/2022,0.3592,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
15,BAT,6/19/2022,0.3396,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
16,BAT,6/18/2022,0.3119,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
17,BAT,6/17/2022,0.3379,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
18,BAT,6/16/2022,0.3217,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
19,BAT,6/15/2022,0.3618,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
20,BAT,6/14/2022,0.2921,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
21,BAT,6/13/2022,0.2849,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
22,BAT,6/12/2022,0.307,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
23,BAT,6/11/2022,0.3338,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
24,BAT,6/10/2022,0.3638,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
25,BAT,6/9/2022,0.3931,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
26,BAT,6/8/2022,0.395,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
27,BAT,6/7/2022,0.393,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
28,BAT,6/6/2022,0.403,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
29,BAT,6/5/2022,0.3821,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
30,BAT,6/4/2022,0.38,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
31,BAT,6/3/2022,0.3788,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
32,BAT,6/2/2022,0.4001,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
33,BAT,6/1/2022,0.3823,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
34,BAT,5/31/2022,0.402,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
35,BAT,5/30/2022,0.4021,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
36,BAT,5/29/2022,0.373,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
37,BAT,5/28/2022,0.3681,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
38,BAT,5/27/2022,0.3597,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
39,BAT,5/26/2022,0.3711,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
40,BAT,5/25/2022,0.3898,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
41,BAT,5/24/2022,0.3949,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
42,BAT,5/23/2022,0.3848,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
43,BAT,5/22/2022,0.4073,3.95E+19,0,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x4862733b5fddfd35f35ea8ccf08f5045e57388b3
